,Data Item,Data Item Description,Data Item Entry,Notes,New Data Item,Origin,Qpis,Collection,Data Type,% Missing
0,TMA_order,Tissue Mircoarray (TMA) order,,"TMAs have hundreds of tissue samples arrayed on a microscope slide by a robotic system and are analyzed against a single molecular target, usually through parallel in situ detection of DNA, RNA, and protein targets in each specimen on the array. TMA_order is the order of tissue samples on TMA slides.",TMA_Order,Clinical,no,research,int64,0.0
1,DFS_months_2020,"Disease Free Survival Status (last check, i.e. 2020)",,Number of months from date of surgery (dofsurg) to date of recurrence (date_recurrence_01072020),Disease_Free_Survival_Months,Clinical,yes,routine,float64,0.0
2,el0em1,Elective Surgery,"0 == elective, 1 == emergency",has the patient undergone emergency or plan surgery ,Emergency_Surgery,Clinical,no,routine,Int8,0.0
3,Recurrence_local1_distant2,Recurrence,"0 == no recurrence, 1 == local, 2 == distant, 3 == local & distant","Recurrent cancer starts with cancer cells that the first treatment didn’t fully remove or destroy: a small number of cancer cells survived the treatment and were too small to show up in follow-up tests. Over time, these cells grew into tumors or cancer that your doctor can now detect. <br><br> Local recurrence means that the cancer is in the same place as the original cancer or very close to it. <br><br> Distant recurrence means the cancer has spread to organs or tissues far from the original cancer. <br><br> When cancer spreads to a distant place in the body, it is called metastasis or metastatic cancer. When cancer spreads, it is still the same type of cancer. For example, if you had colon cancer, it may come back in your liver. But, the cancer is still called colon cancer.",Recurrence_Code_Local1_Distant2,Clinical,no,routine,category,2.08
4,Colin_full_recurrence_sites,Recurrence Site,"0 == none, 1 == local, 2 == liver, 3 == lung, 4 == nodal, 5 == brain, 6 == wide-spread",Categorical description capturing general site of cancer recurrence  ,Recurrence_Sites,Clinical,no,routine,category,5.26
5,age,Patient Age at surgery,years,Age at surgery,Age,Clinical,no,routine,float64,0.0
6,sex,Patient Gender Code,"0 == female, 1 == male",double check.,Sex,Clinical,yes,routine,Int8,0.0
7,Location,Location,"0 == right sided colon, 1 == left sided colon, 2 == rectal","Location of colorectal cancer, i.e. right or left-side of colon or rectum.",Tumour_Location,Clinical,yes,routine,category,0.0
8,Dukes,TMN Scoring ,,"AJCC/UICC-TNM colorectal cancer staging score. Numbers or letters after T, N, and M provide more details about each of these factors. Higher numbers mean the cancer is more advanced. Once a person’s T, N, and M categories have been determined, this information is combined in a process called stage grouping to assign an overall stage. <br> <a>https://www.cancer.org/cancer/types/colon-rectal-cancer/detection-diagnosis-staging/staged.html</a>",Dukes_Stage,Staging,no,routine,category,0.0
9,tstage,Tumour Staging Tumour (T),"0 == no evidence of tumour, [1;2;3;4] == increase severity of tumour",The extent (size) of the tumor (T): How far has the cancer grown into the wall of the colon or rectum?,T_Stage,Clinical,yes,routine,category,0.0
